json_key,Description,Version
lender_city,,3.1.4
lender_name,Legal name of the lender.,3.1.0
lender_name_abbreviated,,3.1.4
lender_name_all_caps,Lender name in uppercase for document formatting.,3.1.0
lender_state,State where the lender is located.,3.1.0
lender_town_and_state,Combined town and state of lender for document use.,3.1.0
lender_type_of_organization,"Type of legal entity (e.g., LLC, Corporation).",3.1.0
Loan Terms,3.1.0
first_payment_date,Date which the first payment comes due and payable.,3.1.0
extended_maturity_date,,3.1.4
new_maturity_date,,3.1.4
previous_maturity_date,,3.1.4
loan_amount,Total principal amount of the loan.,3.1.0
interest_accrual_payment_date,,3.1.4
loan_to_value_percent,Loan-to-value ratio as a percentage.,3.1.0
maturity_date_of_loan,Date when the loan is due to be fully repaid.,3.1.0
maturity_date,Date when the loan is due to be fully repaid.,3.1.0
maximum_default_rate_percentage,Maximum interest rate applicable upon default.,3.1.0
modification_date,,3.1.4
month_of_closing,"Month in which the loan closes (e.g., ""September"").",3.1.0
monthly_payment_date_begin,Date when monthly payments begin.,3.1.0
draw_request_fee,A fee charged each time the borrower requests a draw or disbursement of loan funds.,3.1.1
exit_fee_percentage,"A percentage-based fee charged when the loan is paid off or exits (maturity, refinance, or sale).",3.1.1
extension_fee,Fee charged by the lender if the borrower needs more time beyond the original loan term,3.1.2
origination_fee,Fee charged for processing the loan.,3.1.0
other_fee,Any additional fees not categorized elsewhere.,3.1.0
purchase_refinance,"Refers to where the loan is a ""Purchase"" or ""Refinance""",3.1.1
processing_fee,Fee for administrative processing of the loan.,3.1.0
security_instrument,,3.1.4
security_instrument_all_caps,,3.1.4
short_term_interest_amount,Interest amount applicable for short-term loans.,3.1.0
Property Details,3.1.0
property_street_address,Street address of the property.,3.1.0
property_town
