Template,Type,Short code,Category,Prior to,Active?,Where it prints,Description (staff),Description (borrower)
VA - Live and Well Statement,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint | InternalPrint,Provide a Live and Well statement.,Provide a Live and Well statement.
Business Purpose Affidavit,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint,,Business Purpose Affidavit – Required on all Business Purpose loans.
Collect Insurance documentation ,Underwriting,UW,Property,Approval,yes,InternalPrint,"Proof of Insurance, Invoice and RCE when applicable",
USDA - Appraiser Certification Required,Underwriting,UW,Property,Approval,yes,InternalPrint,Appraiser to certify on page 3 that property meets the requirements of HUD handbooks 4905.1 and 4150.2,
K1(s),Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide K1(s) 
Cash out LOE,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint | InternalPrint,,Provide a signed and dated letter of explanation detailing the purpose for the cash-out proceeds.
Housing History through Closing (Investor Specific)VOR,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint | InternalPrint,Remove if no VOR is required,"Provide proof rent has been paid current through closing with any of the following: Bank statement showing cleared, cancelled checks or VOR."
Final Fraud Report,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint | InternalPrint,,Processor to provide final fraud report to include all loan participants.
LOE Address Variations,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint | InternalPrint,,Provide signed and dated letter of explanation for address variations. (Only if variations show on the credit report or documentation.)
Verification of Rent,Underwriting,UW,Credit,Approval,yes,ExternalPrint,,Provide copies of the most recent 12 months cancelled checks to landlord for rent paid on current residence to evidence a satisfactory payment history.
Seller Contribution,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint,,"Seller contribution cannot exceed ____% ($__________).
"
Identification,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint | InternalPrint,Government-issued ID,Unexpired Government-issued ID
Amendatory Clause,Closing,CL,Miscellaneous,Funding,yes,InternalPrint | ExternalPrint,,FHA Amendatory Clause signed and dated by all parties
Vesting – Individual,Underwriting,YSCAP,Miscellaneous,Funding,yes,InternalPrint,,Borrower(s) closing in individual name(s). Confirm vesting language on deed and note matches 1003.
Trust Funds,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Provide a one month statement to verify trust fund assets. Trust documentation to verify access to trust funds.
Trust Documents,Underwriting,UW,Legal,Approval,yes,ExternalPrint,,Provide a copy of the trust documents.
USDA - Site Value,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,"Site value cannot exceed 30% of total appraised value. If site value exceeds 30%, appraiser must confirm a site value over 30% is typical for the area and that property cannot be subdivided and value limitation exception must be approved by USDA.","Site value cannot exceed 30% of total appraised value. If site value exceeds 30%, appraiser must confirm a site value over 30% is typical for the area and that property cannot be subdivided and value limitation exception must be approved by USDA."
Final Inspection For Completion Per Specs And Plans,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Final Inspection For Completion Per Specs And Plans
Appraisal Expires,Underwriting,UW,Property,Approval,yes,InternalPrint,Provide recertification of value Form 1004D-Appraisal Update and/or Completion Report,
Termite/Pest Inspection,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Termite/Pest Inspection
Flood Insurance Evidence w/ Paid Receipt,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint,,Provide evidence of flood insurance
VA - Disability Award Letter,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Current award letter for VA disability
Bank Statements for Cash to Close and Reserves - ,Underwriting,YSCAP,Assets,Docs,yes,ExternalPrint | InternalPrint,Assets - Cash to clsoe and reserves: amount. Review Per investor,Submit your most recent bank statements with all pages. This is to verify the estimated required assets of ________ (comprised of $____ cash to close and $_____ reserves).  Gift funds may not be used for reserves.
Letter of Explanation - Credit Inquiries on credit - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,,Please advise the reason for the following credit inquires reflecting on your credit report DAtexxx -  inquirycrednamexxxx; DAtexxx - inquirycrednamexxxx; DAtexxx - Inquirycrednamexxxx
VOE - Verification of Employment,Underwriting,UW,Income,Approval,yes,ExternalPrint | InternalPrint,Provide a written VOE to show a breakdown of (type) income.,Provide a written VOE to show a breakdown of (type) income.
FHA - Warranty Of Completion Form 92544 Signed,Closing,CL,Property,Closing,yes,ExternalPrint,,FHA Warranty of Completion Form 92544 signed by builder and borrower
Verification of Mortgage Subject propert -  Credit supplement - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,,We will need 12 months of mortgage payment history for the subject property. Our credit verification company will contact you shortly and will connect with your bank to confirm payment history. Please expect a verification phone call for this process.
"Construction Contract, Plans, and Specs",Underwriting,UW,Property,Approval,yes,ExternalPrint,,"Provide fully executed building contract, plans, specs, and itemization costs."
Credit- LOE Inquiries,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,Oak Tree ONLY,Borrower to provide a letter of explanation on all credit inquiries in the past  120 days. 
Payoff,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,,Provide current payoff statement(s) with a date good through the date of closing/funding for the mortgage account(s) to be paid with this transaction. Account: ____________________________________ Acct#____________ 
Property Review,Underwriting,YSCAP,Property,Docs,yes,InternalPrint,,Underwriter to confirm the property is not unique in structure and the value is not overstated or unsupported.
CDA order - Credit card information and authorization - ,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,,We need to order a secondary review on the appraisal. Price per file is aprox $92. Please provide authorization to charge your credit card on file or provide a new card  to place the order
Gift Letter,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,"Provide a signed gift letter. The letter must state; the amount of the gift, funds do not need to be repaid, the donor's name, address, phone number and the relationship to recipient."
VOM-Subject,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,,Provide a verification of mortgage for the mortgage secured against the subject property. 
Request appraisal update ,Underwriting,UW,Property,Approval,yes,InternalPrint,Per underwriter's notes,
Vesting – LLC / Corporation- Borrower Certificate,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,,Obtain a fully executed Multi-Member Borrower Certificate when the operating agreement does not clearly grant signing authority or when no authorization amendment is provided.
AKA Affidavit,Underwriting,YSCAP,Miscellaneous,Funding,yes,InternalPrint | ExternalPrint,"(Only if variation shows on the credit report, fraud report, or any documentation.)","To be completed for all borrowers, non-obligated spouses, and/or non-obligated co-owners."
Lock Confirmation- Locked Loan,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,,"Interest Rate is currently locked. Provide investor lock confirmation. Underwriter to review and confirm lock, DSCR, PPP, all match up at final CTC. If not loan will be subject to new pricing."
Lease Agreement(s) ,Underwriting,UW,Property,Docs,yes,ExternalPrint | InternalPrint,,Please provide the lease agreement(s) for subject property
Verification of Mortgage All Mortgages on Credit -  Credit supplement - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,,We will need 12 months of payment history for all mortgages reflecting on your credit report. Our credit verification company will contact you shortly and will connect with your bank to confirm payment history. Please expect a verification phone call for this process.
VA - Cash On Hand,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Provide documentation to verify available cash on hand used for closing and an explanation regarding the source. 
Title Estimated HUD / Pre-CD,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint | InternalPrint,,"Title to provide estimated HUD or Pre-CD to include all closing agent/title agent, and lender fees."
DSCR – Minimum Ratio 1.00,Underwriting,YSCAP,Income,Docs,yes,ExternalPrint,,Final DSCR must be 1.00 or greater.
Verification of Mortgage Primary Housing -  Credit supplement - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,Credit supplement Primary housing,We will need 12 months of mortgage payment history for your primary residence. Our credit verification company will contact you shortly and will connect with your bank to confirm payment history. Please expect a verification phone call for this process.
Condo Project Approval,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint,,"Condominium Project must meet Program Requirements. Condo review will be completed upon receipt of all required Condo documents, Appraisal, title, and HO6."
Short Sale Approval,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Provide evidence of short sale approval
