Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
QM.X76,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Income,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X76,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Income,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X77,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Assets,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X77,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Assets,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X77,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Assets,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X78,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Debt Obligations,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X78,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Debt Obligations,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X78,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Debt Obligations,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X79,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Alimony,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X79,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Alimony,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X79,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Alimony,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X80,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Child Support,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X80,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Child Support,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X80,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Child Support,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X81,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Credit History,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X81,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Credit History,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X81,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Credit History,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X82,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Safe Harbor Eligibility,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X82,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Safe Harbor Eligibility,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,490,
