Field ID,Label,Milestone,Filled at this milestone (%)
2,Trans Details Total Loan Amt (w/ MIP/FF),Completion,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Cond. Approval,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Docs Out,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Final Docs,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Investor Delivery,100
2,Trans Details Total Loan Amt (w/ MIP/FF),LO Prep,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Loan Setup,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Purchasing Conditions,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Started,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Submittal,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Waiting for Docs,100
3,Trans Details Interest Rate,Completion,100
3,Trans Details Interest Rate,Cond. Approval,52.4
3,Trans Details Interest Rate,Docs Out,100
3,Trans Details Interest Rate,Final Docs,100
3,Trans Details Interest Rate,Investor Delivery,100
3,Trans Details Interest Rate,LO Prep,100
3,Trans Details Interest Rate,Loan Setup,100
3,Trans Details Interest Rate,Purchasing Conditions,100
3,Trans Details Interest Rate,Started,100
3,Trans Details Interest Rate,Submittal,97
3,Trans Details Interest Rate,Waiting for Docs,50
4,Trans Details Term (Mos),Completion,100
4,Trans Details Term (Mos),Cond. Approval,100
4,Trans Details Term (Mos),Docs Out,100
4,Trans Details Term (Mos),Final Docs,100
4,Trans Details Term (Mos),Investor Delivery,100
4,Trans Details Term (Mos),LO Prep,100
4,Trans Details Term (Mos),Loan Setup,100
4,Trans Details Term (Mos),Purchasing Conditions,100
4,Trans Details Term (Mos),Started,100
4,Trans Details Term (Mos),Submittal,100
4,Trans Details Term (Mos),Waiting for Docs,100
5,Trans Details Mo Pymt (P&I),Completion,100
5,Trans Details Mo Pymt (P&I),Cond. Approval,95.2
5,Trans Details Mo Pymt (P&I),Docs Out,100
5,Trans Details Mo Pymt (P&I),Final Docs,100
5,Trans Details Mo Pymt (P&I),Investor Delivery,100
5,Trans Details Mo Pymt (P&I),LO Prep,100
5,Trans Details Mo Pymt (P&I),Loan Setup,100
5,Trans Details Mo Pymt (P&I),Purchasing Conditions,100
5,Trans Details Mo Pymt (P&I),Started,100
5,Trans Details Mo Pymt (P&I),Submittal,100
5,Trans Details Mo Pymt (P&I),Waiting for Docs,100
11,Subject Property Street,Completion,100
11,Subject Property Street,Cond. Approval,100
11,Subject Property Street,Docs Out,100
11,Subject Property Street,Final Docs,100
11,Subject Property Street,Investor Delivery,100
11,Subject Property Street,LO Prep,100
11,Subject Property Street,Loan Setup,100
11,Subject Property Street,Purchasing Conditions,100
11,Subject Property Street,Started,100
11,Subject Property Street,Submittal,100
11,Subject Property Street,Waiting for Docs,100
12,Subject Property City,Completion,100
12,Subject Property City,Cond. Approval,100
12,Subject Property City,Docs Out,100
12,Subject Property City,Final Docs,100
12,Subject Property City,Investor Delivery,100
12,Subject Property City,LO Prep,100
12,Subject Property City,Loan Setup,100
12,Subject Property City,Purchasing Conditions,100
12,Subject Property City,Started,100
12,Subject Property City,Submittal,100
12,Subject Property City,Waiting for Docs,100
13,Subject Property County,Completion,100
13,Subject Property County,Cond. Approval,100
13,Subject Property County,Docs Out,100
13,Subject Property County,Final Docs,100
13,Subject Property County,Investor Delivery,100
13,Subject Property County,LO Prep,100
13,Subject Property County,Loan Setup,100
13,Subject Property County,Purchasing Conditions,100
13,Subject Property County,Started,100
13,Subject Property County,Submittal,100
13,Subject Property County,Waiting for Docs,100
14,Subject Property State,Completion,100
14,Subject Property State,Cond. Approval,100
14,Subject Property State,Docs Out,100
14,Subject Property State,Final Docs,100
14,Subject Property State,Investor Delivery,100
14,Subject Property State,LO Prep,100
14,Subject Property State,Loan Setup,100
14,Subject Property State,Purchasing Conditions,100
14,Subject Property State,Started,100
14,Subject Property State,Submittal,100
14,Subject Property State,Waiting for Docs,100
15,Subject Property Zip,Completion,100
15,Subject Property Zip,Cond. Approval,100
15,Subject Property Zip,Docs Out,100
15,Subject Property Zip,Final Docs,100
15,Subject Property Zip,Investor Delivery,100
15,Subject Property Zip,LO Prep,100
15,Subject Property Zip,Loan Setup,100
15,Subject Property Zip,Purchasing Conditions,100
15,Subject Property Zip,Started,100
15,Subject Property Zip,Submittal,100
15,Subject Property Zip,Waiting for Docs,100
16,Subject Property # Units,Completion,100
16,Subject Property # Units,Cond. Approval,100
16,Subject Property # Units,Docs Out,100
16,Subject Property # Units,Final Docs,100
16,Subject Property # Units,Investor Delivery,100
16,Subject Property # Units,LO Prep,92.3
16,Subject Property # Units,Loan Setup,100
16,Subject Property # Units,Purchasing Conditions,100
16,Subject Property # Units,Started,100
16,Subject Property # Units,Submittal,100
16,Subject Property # Units,Waiting for Docs,100
17,Subject Property Legal Desc1,Docs Out,100
17,Subject Property Legal Desc1,Final Docs,100
17,Subject Property Legal Desc1,Investor Delivery,100
17,Subject Property Legal Desc1,Purchasing Conditions,100
17,Subject Property Legal Desc1,Started,100
17,Subject Property Legal Desc1,Submittal,100
18,Subject Property Yr Built,Completion,100
18,Subject Property Yr Built,Cond. Approval,100
18,Subject Property Yr Built,Final Docs,100
18,Subject Property Yr Built,Investor Delivery,100
18,Subject Property Yr Built,Purchasing Conditions,100
18,Subject Property Yr Built,Started,100
18,Subject Property Yr Built,Submittal,100
19,Trans Details Loan Purpose,Completion,100
19,Trans Details Loan Purpose,Cond. Approval,100
19,Trans Details Loan Purpose,Docs Out,100
19,Trans Details Loan Purpose,Final Docs,100
19,Trans Details Loan Purpose,Investor Delivery,100
19,Trans Details Loan Purpose,LO Prep,100
19,Trans Details Loan Purpose,Loan Setup,100
19,Trans Details Loan Purpose,Purchasing Conditions,100
19,Trans Details Loan Purpose,Started,100
19,Trans Details Loan Purpose,Submittal,100
19,Trans Details Loan Purpose,Waiting for Docs,100
24,Loan Info Refi Yr Acquired,Docs Out,100
24,Loan Info Refi Yr Acquired,Final Docs,100
24,Loan Info Refi Yr Acquired,Investor Delivery,100
24,Loan Info Refi Yr Acquired,LO Prep,100
24,Loan Info Refi Yr Acquired,Loan Setup,100
24,Loan Info Refi Yr Acquired,Purchasing Conditions,100
24,Loan Info Refi Yr Acquired,Started,100
24,Loan Info Refi Yr Acquired,Submittal,100
25,Loan Info Refi Original Cost,Docs Out,100
25,Loan Info Refi Original Cost,Final Docs,100
25,Loan Info Refi Original Cost,Investor Delivery,100
25,Loan Info Refi Original Cost,LO Prep,100
25,Loan Info Refi Original Cost,Loan Setup,96.2
25,Loan Info Refi Original Cost,Purchasing Conditions,100
25,Loan Info Refi Original Cost,Started,100
25,Loan Info Refi Original Cost,Submittal,95.7
26,Loan Info Refi Existing Lien,Completion,100
26,Loan Info Refi Existing Lien,Final Docs,100
26,Loan Info Refi Existing Lien,Investor Delivery,100
26,Loan Info Refi Existing Lien,Loan Setup,100
26,Loan Info Refi Existing Lien,Purchasing Conditions,100
26,Loan Info Refi Existing Lien,Started,100
26,Loan Info Refi Existing Lien,Submittal,100
31,Subject Property Title Name 1,Completion,100
31,Subject Property Title Name 1,Cond. Approval,100
31,Subject Property Title Name 1,Docs Out,100
31,Subject Property Title Name 1,Final Docs,100
31,Subject Property Title Name 1,Investor Delivery,100
31,Subject Property Title Name 1,LO Prep,100
31,Subject Property Title Name 1,Loan Setup,100
31,Subject Property Title Name 1,Purchasing Conditions,100
31,Subject Property Title Name 1,Started,100
31,Subject Property Title Name 1,Submittal,100
31,Subject Property Title Name 1,Waiting for Docs,100
33,Subject Property Manner Held,Started,100
36,Borr First Name,Completion,100
36,Borr First Name,Cond. Approval,100
36,Borr First Name,Docs Out,100
36,Borr First Name,Final Docs,100
36,Borr First Name,Investor Delivery,100
36,Borr First Name,LO Prep,100
36,Borr First Name,Loan Setup,100
36,Borr First Name,Purchasing Conditions,100
36,Borr First Name,Started,100
36,Borr First Name,Submittal,100
36,Borr First Name,Waiting for Docs,100
37,Borr Last Name,Completion,100
37,Borr Last Name,Cond. Approval,100
37,Borr Last Name,Docs Out,100
37,Borr Last Name,Final Docs,100
37,Borr Last Name,Investor Delivery,100
37,Borr Last Name,LO Prep,100
37,Borr Last Name,Loan Setup,100
37,Borr Last Name,Purchasing Conditions,100
37,Borr Last Name,Started,100
37,Borr Last Name,Submittal,100
37,Borr Last Name,Waiting for Docs,100
38,Borr Age,Completion,100
38,Borr Age,Cond. Approval,100
38,Borr Age,Docs Out,100
38,Borr Age,Final Docs,100
38,Borr Age,Investor Delivery,100
38,Borr Age,LO Prep,100
38,Borr Age,Loan Setup,100
38,Borr Age,Purchasing Conditions,100
38,Borr Age,Started,98.2
38,Borr Age,Submittal,100
38,Borr Age,Waiting for Docs,100
40,Fees Line 1305 Descr,Investor Delivery,100
40,Fees Line 1305 Descr,Purchasing Conditions,100
41,Fees Line 1305 Borr,Purchasing Conditions,100
42,Fees Line 1305 Seller,Investor Delivery,100
42,Fees Line 1305 Seller,Purchasing Conditions,100
43,Fees Line 1306 Descr,Investor Delivery,100
43,Fees Line 1306 Descr,Purchasing Conditions,100
44,Fees Line 1306 Borr,Purchasing Conditions,100
52,Borr Marital Status,Completion,100
52,Borr Marital Status,Cond. Approval,100
52,Borr Marital Status,Docs Out,100
52,Borr Marital Status,Final Docs,100
52,Borr Marital Status,Investor Delivery,100
52,Borr Marital Status,LO Prep,100
52,Borr Marital Status,Loan Setup,100
52,Borr Marital Status,Purchasing Conditions,100
52,Borr Marital Status,Started,100
52,Borr Marital Status,Submittal,100
52,Borr Marital Status,Waiting for Docs,100
53,Borr Dependent #,Completion,26.5
53,Borr Dependent #,Cond. Approval,35
53,Borr Dependent #,Docs Out,100
53,Borr Dependent #,Final Docs,92.9
53,Borr Dependent #,Investor Delivery,75
53,Borr Dependent #,LO Prep,75
53,Borr Dependent #,Loan Setup,82.1
53,Borr Dependent #,Purchasing Conditions,78
53,Borr Dependent #,Started,85.7
53,Borr Dependent #,Submittal,71.9
53,Borr Dependent #,Waiting for Docs,37.5
54,Borr Dependents Ages,Completion,100
54,Borr Dependents Ages,Cond. Approval,100
54,Borr Dependents Ages,Docs Out,100
54,Borr Dependents Ages,Final Docs,100
54,Borr Dependents Ages,Investor Delivery,80
54,Borr Dependents Ages,LO Prep,100
54,Borr Dependents Ages,Loan Setup,82.1
54,Borr Dependents Ages,Purchasing Conditions,89
54,Borr Dependents Ages,Started,96
54,Borr Dependents Ages,Submittal,79.3
55,Fees Line 1306 Seller,Investor Delivery,100
55,Fees Line 1306 Seller,Purchasing Conditions,100
60,Co-Borr Experian FICO,Purchasing Conditions,100
61,FHA MCAW Prepaid Expenses,Completion,100
61,FHA MCAW Prepaid Expenses,Cond. Approval,100
61,FHA MCAW Prepaid Expenses,Docs Out,100
61,FHA MCAW Prepaid Expenses,Final Docs,100
61,FHA MCAW Prepaid Expenses,Investor Delivery,100
61,FHA MCAW Prepaid Expenses,LO Prep,100
61,FHA MCAW Prepaid Expenses,Loan Setup,100
61,FHA MCAW Prepaid Expenses,Purchasing Conditions,100
61,FHA MCAW Prepaid Expenses,Started,100
61,FHA MCAW Prepaid Expenses,Submittal,100
65,Borr SSN,Completion,100
65,Borr SSN,Cond. Approval,100
65,Borr SSN,Docs Out,100
65,Borr SSN,Final Docs,100
65,Borr SSN,Investor Delivery,100
65,Borr SSN,LO Prep,100
65,Borr SSN,Loan Setup,100
65,Borr SSN,Purchasing Conditions,100
65,Borr SSN,Started,100
65,Borr SSN,Submittal,100
65,Borr SSN,Waiting for Docs,100
66,Borr Home Phone,Completion,100
66,Borr Home Phone,Cond. Approval,100
66,Borr Home Phone,Docs Out,100
66,Borr Home Phone,Final Docs,100
66,Borr Home Phone,Investor Delivery,100
66,Borr Home Phone,LO Prep,100
66,Borr Home Phone,Loan Setup,100
66,Borr Home Phone,Purchasing Conditions,100
66,Borr Home Phone,Started,100
66,Borr Home Phone,Submittal,100
67,Borr Experian FICO,Docs Out,100
67,Borr Experian FICO,Final Docs,100
67,Borr Experian FICO,Investor Delivery,100
67,Borr Experian FICO,Loan Setup,100
67,Borr Experian FICO,Purchasing Conditions,100
67,Borr Experian FICO,Started,100
67,Borr Experian FICO,Submittal,100
68,Co-Borr First Name,Purchasing Conditions,100
69,Co-Borr Last Name,Purchasing Conditions,100
70,Co-Borr Age,Purchasing Conditions,100
78,Trans Details Loan Maturity Date,Completion,100
78,Trans Details Loan Maturity Date,Cond. Approval,100
78,Trans Details Loan Maturity Date,Docs Out,100
78,Trans Details Loan Maturity Date,Final Docs,100
78,Trans Details Loan Maturity Date,Investor Delivery,100
78,Trans Details Loan Maturity Date,LO Prep,100
78,Trans Details Loan Maturity Date,Loan Setup,100
78,Trans Details Loan Maturity Date,Purchasing Conditions,100
78,Trans Details Loan Maturity Date,Started,100
78,Trans Details Loan Maturity Date,Submittal,100
78,Trans Details Loan Maturity Date,Waiting for Docs,100
84,Co-Borr Marital Status,Purchasing Conditions,100
87,File Contacts Escrow Co Email,Docs Out,100
87,File Contacts Escrow Co Email,Final Docs,100
87,File Contacts Escrow Co Email,Investor Delivery,100
87,File Contacts Escrow Co Email,Purchasing Conditions,100
88,File Contacts Title Co Email,Docs Out,100
88,File Contacts Title Co Email,Final Docs,100
88,File Contacts Title Co Email,Investor Delivery,100
88,File Contacts Title Co Email,Loan Setup,100
88,File Contacts Title Co Email,Purchasing Conditions,100
88,File Contacts Title Co Email,Submittal,100
89,File Contacts Appraisal Co Email,Investor Delivery,100
89,File Contacts Appraisal Co Email,Purchasing Conditions,100
89,File Contacts Appraisal Co Email,Started,100
89,File Contacts Appraisal Co Email,Submittal,100
95,File Contacts Lender Email,Completion,100
95,File Contacts Lender Email,Cond. Approval,100
95,File Contacts Lender Email,Final Docs,100
95,File Contacts Lender Email,Investor Delivery,100
95,File Contacts Lender Email,Loan Setup,100
95,File Contacts Lender Email,Purchasing Conditions,100
95,File Contacts Lender Email,Started,100
95,File Contacts Lender Email,Submittal,100
95,File Contacts Lender Email,Waiting for Docs,100
97,Co-Borr SSN,Purchasing Conditions,100
98,Co-Borr Home Phone,Purchasing Conditions,100
106,Income Borr Net Rental Income,Completion,100
106,Income Borr Net Rental Income,Cond. Approval,100
106,Income Borr Net Rental Income,Docs Out,100
106,Income Borr Net Rental Income,Final Docs,100
106,Income Borr Net Rental Income,Investor Delivery,100
106,Income Borr Net Rental Income,LO Prep,100
106,Income Borr Net Rental Income,Loan Setup,100
106,Income Borr Net Rental Income,Purchasing Conditions,100
106,Income Borr Net Rental Income,Started,100
106,Income Borr Net Rental Income,Submittal,100
109,Insurance Borr MI Termination Date,Completion,100
109,Insurance Borr MI Termination Date,Cond. Approval,100
109,Insurance Borr MI Termination Date,Docs Out,100
109,Insurance Borr MI Termination Date,Final Docs,100
109,Insurance Borr MI Termination Date,Investor Delivery,100
109,Insurance Borr MI Termination Date,LO Prep,100
109,Insurance Borr MI Termination Date,Loan Setup,100
109,Insurance Borr MI Termination Date,Purchasing Conditions,100
109,Insurance Borr MI Termination Date,Started,100
109,Insurance Borr MI Termination Date,Submittal,100
109,Insurance Borr MI Termination Date,Waiting for Docs,100
118,Insurance Calculation Borr MI Termination Date,Completion,100
118,Insurance Calculation Borr MI Termination Date,Cond. Approval,100
118,Insurance Calculation Borr MI Termination Date,Docs Out,100
118,Insurance Calculation Borr MI Termination Date,Final Docs,100
118,Insurance Calculation Borr MI Termination Date,Investor Delivery,100
118,Insurance Calculation Borr MI Termination Date,LO Prep,100
118,Insurance Calculation Borr MI Termination Date,Loan Setup,100
118,Insurance Calculation Borr MI Termination Date,Purchasing Conditions,100
118,Insurance Calculation Borr MI Termination Date,Started,100
118,Insurance Calculation Borr MI Termination Date,Submittal,100
118,Insurance Calculation Borr MI Termination Date,Waiting for Docs,100
136,Trans Details Purchase Price,Completion,100
136,Trans Details Purchase Price,Cond. Approval,100
136,Trans Details Purchase Price,Investor Delivery,100
136,Trans Details Purchase Price,LO Prep,100
136,Trans Details Purchase Price,Purchasing Conditions,100
136,Trans Details Purchase Price,Started,100
136,Trans Details Purchase Price,Submittal,100
137,Trans Details Est Closing Costs,Completion,100
137,Trans Details Est Closing Costs,Cond. Approval,100
137,Trans Details Est Closing Costs,Docs Out,100
137,Trans Details Est Closing Costs,Final Docs,100
137,Trans Details Est Closing Costs,Investor Delivery,100
137,Trans Details Est Closing Costs,LO Prep,100
137,Trans Details Est Closing Costs,Loan Setup,100
137,Trans Details Est Closing Costs,Purchasing Conditions,100
137,Trans Details Est Closing Costs,Started,100
137,Trans Details Est Closing Costs,Submittal,100
137,Trans Details Est Closing Costs,Waiting for Docs,100
138,Trans Details Est Prepaids,Completion,100
138,Trans Details Est Prepaids,Cond. Approval,100
138,Trans Details Est Prepaids,Docs Out,100
138,Trans Details Est Prepaids,Final Docs,100
138,Trans Details Est Prepaids,Investor Delivery,100
138,Trans Details Est Prepaids,LO Prep,100
138,Trans Details Est Prepaids,Loan Setup,100
138,Trans Details Est Prepaids,Purchasing Conditions,100
138,Trans Details Est Prepaids,Started,100
138,Trans Details Est Prepaids,Submittal,100
141,Trans Details Credit 1 Amt,Completion,100
141,Trans Details Credit 1 Amt,Cond. Approval,100
141,Trans Details Credit 1 Amt,Final Docs,100
141,Trans Details Credit 1 Amt,Purchasing Conditions,100
142,Trans Details Cash From Borr,Completion,100
142,Trans Details Cash From Borr,Cond. Approval,100
142,Trans Details Cash From Borr,Docs Out,100
142,Trans Details Cash From Borr,Final Docs,100
142,Trans Details Cash From Borr,Investor Delivery,100
142,Trans Details Cash From Borr,LO Prep,100
142,Trans Details Cash From Borr,Loan Setup,100
142,Trans Details Cash From Borr,Purchasing Conditions,100
142,Trans Details Cash From Borr,Started,100
142,Trans Details Cash From Borr,Submittal,100
142,Trans Details Cash From Borr,Waiting for Docs,100
143,Fees Total Closing Costs Seller,Investor Delivery,100
143,Fees Total Closing Costs Seller,Purchasing Conditions,100
154,Fees Line 801 User Def Fee 1 Descr,Completion,100
154,Fees Line 801 User Def Fee 1 Descr,Cond. Approval,100
154,Fees Line 801 User Def Fee 1 Descr,Docs Out,100
154,Fees Line 801 User Def Fee 1 Descr,Final Docs,100
154,Fees Line 801 User Def Fee 1 Descr,Investor Delivery,100
154,Fees Line 801 User Def Fee 1 Descr,LO Prep,100
154,Fees Line 801 User Def Fee 1 Descr,Loan Setup,100
154,Fees Line 801 User Def Fee 1 Descr,Purchasing Conditions,100
154,Fees Line 801 User Def Fee 1 Descr,Started,100
154,Fees Line 801 User Def Fee 1 Descr,Submittal,100
154,Fees Line 801 User Def Fee 1 Descr,Waiting for Docs,100
155,Fees Line 801 User Def Fee 1 Borr,Completion,100
155,Fees Line 801 User Def Fee 1 Borr,Cond. Approval,100
155,Fees Line 801 User Def Fee 1 Borr,Docs Out,100
155,Fees Line 801 User Def Fee 1 Borr,Final Docs,100
155,Fees Line 801 User Def Fee 1 Borr,Investor Delivery,100
155,Fees Line 801 User Def Fee 1 Borr,LO Prep,100
155,Fees Line 801 User Def Fee 1 Borr,Loan Setup,96.7
155,Fees Line 801 User Def Fee 1 Borr,Purchasing Conditions,98.6
155,Fees Line 801 User Def Fee 1 Borr,Started,98.9
155,Fees Line 801 User Def Fee 1 Borr,Submittal,100
155,Fees Line 801 User Def Fee 1 Borr,Waiting for Docs,100
169,Borr Declarations G,Completion,0
169,Borr Declarations G,Cond. Approval,0
169,Borr Declarations G,Docs Out,0
169,Borr Declarations G,Final Docs,0
169,Borr Declarations G,Investor Delivery,0
169,Borr Declarations G,LO Prep,0
169,Borr Declarations G,Loan Setup,0
169,Borr Declarations G,Purchasing Conditions,0
169,Borr Declarations G,Started,0
169,Borr Declarations G,Submittal,0
169,Borr Declarations G,Waiting for Docs,0
188,Borr - I do not wish to furnish this info,Completion,100
188,Borr - I do not wish to furnish this info,Cond. Approval,100
188,Borr - I do not wish to furnish this info,Final Docs,100
188,Borr - I do not wish to furnish this info,Purchasing Conditions,100
188,Borr - I do not wish to furnish this info,Started,100
188,Borr - I do not wish to furnish this info,Submittal,100
188,Borr - I do not wish to furnish this info,Waiting for Docs,100
189,Co-Borr - I do not wish to furnish this info,Completion,100
189,Co-Borr - I do not wish to furnish this info,Cond. Approval,100
189,Co-Borr - I do not wish to furnish this info,Docs Out,100
189,Co-Borr - I do not wish to furnish this info,Final Docs,100
189,Co-Borr - I do not wish to furnish this info,Investor Delivery,100
189,Co-Borr - I do not wish to furnish this info,LO Prep,100
189,Co-Borr - I do not wish to furnish this info,Loan Setup,100
189,Co-Borr - I do not wish to furnish this info,Purchasing Conditions,100
189,Co-Borr - I do not wish to furnish this info,Started,100
189,Co-Borr - I do not wish to furnish this info,Submittal,100
189,Co-Borr - I do not wish to furnish this info,Waiting for Docs,100
190,Subject Property Use Type,Completion,100
190,Subject Property Use Type,Cond. Approval,100
190,Subject Property Use Type,Docs Out,100
190,Subject Property Use Type,Final Docs,100
190,Subject Property Use Type,Investor Delivery,100
190,Subject Property Use Type,LO Prep,100
190,Subject Property Use Type,Loan Setup,100
190,Subject Property Use Type,Purchasing Conditions,100
190,Subject Property Use Type,Started,100
190,Subject Property Use Type,Submittal,100
190,Subject Property Use Type,Waiting for Docs,100
199,Trans Details Amt Available,Completion,100
199,Trans Details Amt Available,Purchasing Conditions,100
202,Trans Details Credit 1 Descr,Completion,100
228,Expenses Proposed Mtg Pymt,Completion,100
228,Expenses Proposed Mtg Pymt,Cond. Approval,95.2
228,Expenses Proposed Mtg Pymt,Docs Out,100
228,Expenses Proposed Mtg Pymt,Final Docs,100
228,Expenses Proposed Mtg Pymt,Investor Delivery,100
228,Expenses Proposed Mtg Pymt,LO Prep,100
228,Expenses Proposed Mtg Pymt,Loan Setup,100
228,Expenses Proposed Mtg Pymt,Purchasing Conditions,100
228,Expenses Proposed Mtg Pymt,Started,100
228,Expenses Proposed Mtg Pymt,Submittal,100
228,Expenses Proposed Mtg Pymt,Waiting for Docs,100
230,Expenses Proposed Haz Ins,Completion,100
230,Expenses Proposed Haz Ins,Cond. Approval,100
230,Expenses Proposed Haz Ins,Docs Out,100
230,Expenses Proposed Haz Ins,Final Docs,100
230,Expenses Proposed Haz Ins,Investor Delivery,100
230,Expenses Proposed Haz Ins,LO Prep,100
230,Expenses Proposed Haz Ins,Loan Setup,100
230,Expenses Proposed Haz Ins,Purchasing Conditions,100
230,Expenses Proposed Haz Ins,Started,97.8
230,Expenses Proposed Haz Ins,Submittal,100
231,Fees Tax Per Mo,Completion,100
231,Fees Tax Per Mo,Cond. Approval,100
231,Fees Tax Per Mo,Docs Out,100
231,Fees Tax Per Mo,Final Docs,100
231,Fees Tax Per Mo,Investor Delivery,100
231,Fees Tax Per Mo,LO Prep,100
231,Fees Tax Per Mo,Loan Setup,100
231,Fees Tax Per Mo,Purchasing Conditions,100
231,Fees Tax Per Mo,Started,100
231,Fees Tax Per Mo,Submittal,100
233,Expenses Proposed HOA,Purchasing Conditions,100
234,Expenses Proposed Other Housing,Completion,0
234,Expenses Proposed Other Housing,Cond. Approval,0
234,Expenses Proposed Other Housing,Docs Out,12.5
234,Expenses Proposed Other Housing,Final Docs,14.3
234,Expenses Proposed Other Housing,Investor Delivery,12.5
234,Expenses Proposed Other Housing,LO Prep,0
234,Expenses Proposed Other Housing,Loan Setup,0
234,Expenses Proposed Other Housing,Purchasing Conditions,7.9
234,Expenses Proposed Other Housing,Started,0
234,Expenses Proposed Other Housing,Submittal,3
234,Expenses Proposed Other Housing,Waiting for Docs,0
235,Fees Flood Ins Per Mo,Purchasing Conditions,100
253,Fees Line 1008 $ Per Mo,Purchasing Conditions,100
265,Borr Declarations M,Completion,0
265,Borr Declarations M,Cond. Approval,0
265,Borr Declarations M,Docs Out,0
265,Borr Declarations M,Final Docs,0
265,Borr Declarations M,Investor Delivery,0
265,Borr Declarations M,LO Prep,0
265,Borr Declarations M,Loan Setup,0
265,Borr Declarations M,Purchasing Conditions,0
265,Borr Declarations M,Started,0
265,Borr Declarations M,Submittal,0
265,Borr Declarations M,Waiting for Docs,0
299,Loan Info Refi Purpose,Completion,100
299,Loan Info Refi Purpose,Cond. Approval,100
299,Loan Info Refi Purpose,Docs Out,100
299,Loan Info Refi Purpose,Final Docs,100
299,Loan Info Refi Purpose,Investor Delivery,100
299,Loan Info Refi Purpose,LO Prep,100
299,Loan Info Refi Purpose,Loan Setup,100
299,Loan Info Refi Purpose,Purchasing Conditions,100
299,Loan Info Refi Purpose,Started,100
299,Loan Info Refi Purpose,Submittal,100
299,Loan Info Refi Purpose,Waiting for Docs,100
300,Trans Details Credit Rpt Ref #,Docs Out,100
300,Trans Details Credit Rpt Ref #,Final Docs,100
300,Trans Details Credit Rpt Ref #,Investor Delivery,100
300,Trans Details Credit Rpt Ref #,Loan Setup,100
300,Trans Details Credit Rpt Ref #,Purchasing Conditions,100
300,Trans Details Credit Rpt Ref #,Started,100
300,Trans Details Credit Rpt Ref #,Submittal,100
305,File Contacts Lender Case #,Completion,100
305,File Contacts Lender Case #,Cond. Approval,100
305,File Contacts Lender Case #,Docs Out,100
305,File Contacts Lender Case #,Final Docs,100
305,File Contacts Lender Case #,Investor Delivery,100
305,File Contacts Lender Case #,LO Prep,100
305,File Contacts Lender Case #,Loan Setup,100
305,File Contacts Lender Case #,Purchasing Conditions,100
305,File Contacts Lender Case #,Started,100
305,File Contacts Lender Case #,Submittal,100
305,File Contacts Lender Case #,Waiting for Docs,100
313,File Contacts Broker Lender City,Completion,100
313,File Contacts Broker Lender City,Cond. Approval,100
313,File Contacts Broker Lender City,Docs Out,100
313,File Contacts Broker Lender City,Final Docs,100
313,File Contacts Broker Lender City,Investor Delivery,100
313,File Contacts Broker Lender City,LO Prep,100
313,File Contacts Broker Lender City,Loan Setup,100
313,File Contacts Broker Lender City,Purchasing Conditions,100
313,File Contacts Broker Lender City,Started,100
313,File Contacts Broker Lender City,Submittal,100
313,File Contacts Broker Lender City,Waiting for Docs,100
315,File Contacts Broker Lender Name,Completion,100
315,File Contacts Broker Lender Name,Cond. Approval,100
315,File Contacts Broker Lender Name,Docs Out,100
315,File Contacts Broker Lender Name,Final Docs,100
315,File Contacts Broker Lender Name,Investor Delivery,100
315,File Contacts Broker Lender Name,LO Prep,100
315,File Contacts Broker Lender Name,Loan Setup,100
315,File Contacts Broker Lender Name,Purchasing Conditions,100
315,File Contacts Broker Lender Name,Started,100
315,File Contacts Broker Lender Name,Submittal,100
315,File Contacts Broker Lender Name,Waiting for Docs,100
317,File Contacts Loan Officer Name,Completion,100
317,File Contacts Loan Officer Name,Cond. Approval,100
317,File Contacts Loan Officer Name,Docs Out,100
317,File Contacts Loan Officer Name,Final Docs,100
317,File Contacts Loan Officer Name,Investor Delivery,100
317,File Contacts Loan Officer Name,LO Prep,100
317,File Contacts Loan Officer Name,Loan Setup,100
317,File Contacts Loan Officer Name,Purchasing Conditions,100
317,File Contacts Loan Officer Name,Started,100
317,File Contacts Loan Officer Name,Submittal,100
317,File Contacts Loan Officer Name,Waiting for Docs,100
319,File Contacts Broker Lender Addr,Completion,100
319,File Contacts Broker Lender Addr,Cond. Approval,100
319,File Contacts Broker Lender Addr,Docs Out,100
319,File Contacts Broker Lender Addr,Final Docs,100
319,File Contacts Broker Lender Addr,Investor Delivery,100
319,File Contacts Broker Lender Addr,LO Prep,100
319,File Contacts Broker Lender Addr,Loan Setup,100
319,File Contacts Broker Lender Addr,Purchasing Conditions,100
319,File Contacts Broker Lender Addr,Started,100
319,File Contacts Broker Lender Addr,Submittal,100
319,File Contacts Broker Lender Addr,Waiting for Docs,100
321,File Contacts Broker Lender State,Completion,100
321,File Contacts Broker Lender State,Cond. Approval,100
321,File Contacts Broker Lender State,Docs Out,100
321,File Contacts Broker Lender State,Final Docs,100
